Load address: $1000 Init address: $1000 Play address: $1003
Calling initroutine with subtune 0
Calling playroutine for 400 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|    77 | 03E1 (A#1 96) .. .... 9CC | 045A (C-2 98) .. .... 9CC | 04E2 (D-2 9A) .. .... 9CC | .... .. ... . |
|    78 | ....  ... ..  .. .... 9D2 | ....  ... ..  .. .... 9D2 | ....  ... ..  .. .... 9D2 | .... .. ... . |
|    79 | ....  ... ..  .. .... 9D8 | ....  ... ..  .. .... 9D8 | ....  ... ..  .. .... 9D8 | .... .. ... . |
|    80 | 04E2 (D-2 9A) .. .... ... | 057C (E-2 9C) .. .... ... | 0628 (F#2 9E) .. .... ... | .... .. ... . |
|    81 | ....  ... ..  .. .... 9DE | ....  ... ..  .. .... 9DE | ....  ... ..  .. .... 9DE | .... .. ... . |
|    82 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    83 | 0685 (G-2 9F) .. .... 9E4 | 0752 (A-2 A1) .. .... 9E4 | 0837 (B-2 A3) .. .... 9E4 | .... .. ... . |
|    84 | ....  ... ..  .. .... 9EA | ....  ... ..  .. .... 9EA | ....  ... ..  .. .... 9EA | .... .. ... . |
|    85 | ....  ... ..  10 0F00 ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    86 | 03E1 (A#1 96) .. .... 9F0 | 045A (C-2 98) .. .... 9F0 | 04E2 (D-2 9A) .. .... 9F0 | .... .. ... . |
|    87 | ....  ... ..  09 007C ... | ....  ... ..  .. .... 9F6 | ....  ... ..  .. .... 9F6 | .... .. ... . |
|    88 | 02BE  E-1 90  41 .... 440 | ....  ... ..  .. .... 9FC | ....  ... ..  .. .... 9FC | .... .. ... . |
|    89 | ....  ... ..  .. .... 450 | 057C (E-2 9C) .. .... A02 | 0628 (F#2 9E) .. .... A02 | .... .. ... . |
|    90 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    91 | ....  ... ..  .. .... 460 | ....  ... ..  .. .... A08 | ....  ... ..  .. .... A08 | .... .. ... . |
|    92 | ....  ... ..  .. .... 470 | 0752 (A-2 A1) .. .... A0E | 0837 (B-2 A3) .. .... A0E | .... .. ... . |
|    93 | ....  ... ..  .. .... 480 | ....  ... ..  .. .... A14 | ....  ... ..  .. .... A14 | .... .. ... . |
|    94 | ....  ... ..  .. .... 490 | ....  ... ..  .. .... A1A | ....  ... ..  .. .... A1A | .... .. ... . |
|    95 | ....  ... ..  .. .... ... | 045A (C-2 98) .. .... ... | 04E2 (D-2 9A) .. .... ... | .... .. ... . |
|    96 | ....  ... ..  .. .... 4A0 | ....  ... ..  .. .... A20 | ....  ... ..  .. .... A20 | .... .. ... . |
|    97 | ....  ... ..  .. .... 4B0 | ....  ... ..  .. .... A26 | ....  ... ..  .. .... A26 | .... .. ... . |
|    98 | ....  ... ..  .. .... 4C0 | 057C (E-2 9C) .. .... A2C | 0628 (F#2 9E) .. .... A2C | .... .. ... . |
|    99 | ....  ... ..  .. .... 4D0 | ....  ... ..  .. .... A32 | ....  ... ..  .. .... A32 | .... .. ... . |
|   100 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   101 | ....  ... ..  .. .... 4E0 | 0752 (A-2 A1) .. .... A38 | 0837 (B-2 A3) .. .... A38 | .... .. ... . |
|   102 | ....  ... ..  .. .... 4F0 | ....  ... ..  .. .... A3E | ....  ... ..  .. .... A3E | .... .. ... . |
|   103 | ....  ... ..  .. .... 500 | ....  ... ..  .. .... A44 | ....  ... ..  .. .... A44 | .... .. ... . |
|   104 | ....  ... ..  .. .... 510 | 045A (C-2 98) .. .... A4A | 04E2 (D-2 9A) .. .... A4A | .... .. ... . |
|   105 | ....  ... ..  40 0F00 ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   106 | ....  ... ..  .. .... 520 | ....  ... ..  .. .... A50 | ....  ... ..  .. .... A50 | .... .. ... . |
|   107 | ....  ... ..  09 0839 ... | 057C (E-2 9C) .. .... A56 | 0628 (F#2 9E) .. .... A56 | .... .. ... . |
|   108 | 24E2  C#5 BD  81 .... 800 | ....  ... ..  .. .... A5C | ....  ... ..  .. .... A5C | .... 11 L+H . |
|   109 | 07C1 (A#2 A2) 41 .... ... | ....  ... ..  .. .... A62 | ....  ... ..  .. .... A62 | 1100 C1 Low . |
|   110 | 15EE (E-4 B4) 25 .... ... | 0752 (A-2 A1) .. .... ... | 0837 (B-2 A3) .. .... ... | 0100 .. ... . |
|   111 | ....  ... ..  55 .... ... | ....  ... ..  .. .... A68 | ....  ... ..  .. .... A68 | 0200 .. ... . |
|   112 | ....  ... ..  25 .... ... | ....  ... ..  .. .... A6E | ....  ... ..  .. .... A6E | 0300 .. ... . |
|   113 | ....  ... ..  55 .... ... | 045A (C-2 98) .. .... A74 | 04E2 (D-2 9A) .. .... A74 | 0400 .. ... . |
|   114 | ....  ... ..  25 .... ... | ....  ... ..  .. .... A7A | ....  ... ..  .. .... A7A | 0500 .. ... . |
|   115 | ....  ... ..  54 0F00 ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0600 .. ... . |
|   116 | ....  ... ..  24 .... ... | 057C (E-2 9C) .. .... A80 | 0628 (F#2 9E) .. .... A80 | 0700 .. ... . |
|   117 | ....  ... ..  09 007C ... | ....  ... ..  .. .... A86 | ....  ... ..  .. .... A86 | 0800 .. ... . |
|   118 | 041C  B-1 97  41 .... 440 | ....  ... ..  .. .... A8C | ....  ... ..  .. .... A8C | 0900 .. ... . |
|   119 | ....  ... ..  .. .... 450 | 0752 (A-2 A1) .. .... A92 | 0837 (B-2 A3) .. .... A92 | 0A00 .. ... . |
|   120 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0B00 .. ... . |
|   121 | ....  ... ..  .. .... 460 | ....  ... ..  .. .... A98 | ....  ... ..  .. .... A98 | 0C00 .. ... . |
|   122 | ....  ... ..  .. .... 470 | 045A (C-2 98) .. .... A9E | 04E2 (D-2 9A) .. .... A9E | 0D00 .. ... . |
|   123 | ....  ... ..  .. .... 480 | ....  ... ..  .. .... AA4 | ....  ... ..  .. .... AA4 | 0E00 .. ... . |
|   124 | ....  ... ..  .. .... 490 | ....  ... ..  .. .... AAA | ....  ... ..  .. .... AAA | 0F00 .. ... . |
|   125 | ....  ... ..  .. .... ... | 057C (E-2 9C) .. .... ... | 0628 (F#2 9E) .. .... ... | 1000 .. ... . |
|   126 | ....  ... ..  .. .... 4A0 | ....  ... ..  .. .... AB0 | ....  ... ..  .. .... AB0 | 1100 .. ... . |
|   127 | ....  ... ..  .. .... 4B0 | ....  ... ..  .. .... AB6 | ....  ... ..  .. .... AB6 | 1200 .. ... . |
|   128 | ....  ... ..  .. .... 4C0 | 0752 (A-2 A1) .. .... ABC | 0837 (B-2 A3) .. .... ABC | 1300 .. ... . |
|   129 | ....  ... ..  .. .... 4D0 | ....  ... ..  .. .... AC2 | ....  ... ..  .. .... AC2 | 1400 .. ... . |
|   130 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1500 .. ... . |
|   131 | ....  ... ..  .. .... 4E0 | 045A (C-2 98) .. .... AC8 | 04E2 (D-2 9A) .. .... AC8 | 1600 .. ... . |
|   132 | ....  ... ..  .. .... 4F0 | ....  ... ..  .. .... ACE | ....  ... ..  .. .... ACE | 1700 .. ... . |
|   133 | ....  ... ..  .. .... 500 | ....  ... ..  .. .... AD4 | ....  ... ..  .. .... AD4 | 1800 .. ... . |
|   134 | ....  ... ..  .. .... 510 | 057C (E-2 9C) .. .... ADA | 0628 (F#2 9E) .. .... ADA | 1900 .. ... . |
|   135 | ....  ... ..  40 0F00 ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1A00 .. ... . |
|   136 | ....  ... ..  .. .... 520 | ....  ... ..  .. .... AE0 | ....  ... ..  .. .... AE0 | 1B00 .. ... . |
|   137 | ....  ... ..  09 0839 ... | 0752 (A-2 A1) .. .... AE6 | 0837 (B-2 A3) .. .... AE6 | 1C00 .. ... . |
|   138 | 24E2  C#5 BD  81 .... 800 | ....  ... ..  .. .... AEC | ....  ... ..  .. .... AEC | 0000 11 L+H . |
|   139 | 07C1 (A#2 A2) 41 .... ... | ....  ... ..  .. .... AF2 | ....  ... ..  .. .... AF2 | 1100 C1 Low . |
|   140 | 15EE (E-4 B4) 25 .... ... | 045A (C-2 98) .. .... ... | 04E2 (D-2 9A) .. .... ... | 0100 .. ... . |
|   141 | ....  ... ..  55 .... ... | ....  ... ..  .. .... AF8 | ....  ... ..  .. .... AF8 | 0200 .. ... . |
|   142 | ....  ... ..  25 .... ... | ....  ... ..  .. .... AFE | ....  ... ..  .. .... AFE | 0300 .. ... . |
|   143 | ....  ... ..  55 .... ... | 057C (E-2 9C) .. .... B04 | 0628 (F#2 9E) .. .... B04 | 0400 .. ... . |
