Load address: $C000 Init address: $C048 Play address: $C021
Calling initroutine with subtune 0
Calling playroutine for 400 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|    62 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 132 | ....  ... ..  .. .... ... | .... .. ... . |
|    63 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 1B2 | ....  ... ..  .. .... ... | .... .. ... . |
|    64 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    65 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 2B2 | ....  ... ..  .. .... ... | .... .. ... . |
|    66 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 332 | ....  ... ..  .. .... ... | .... .. ... . |
|    67 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 3B2 | ....  ... ..  .. .... ... | .... .. ... . |
|    68 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 432 | ....  ... ..  .. .... ... | .... .. ... . |
|    69 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 4B2 | ....  ... ..  .. .... ... | .... .. ... . |
|    70 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 532 | ....  ... ..  .. .... ... | .... .. ... . |
|    71 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 5B2 | ....  ... ..  .. .... ... | .... .. ... . |
|    72 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 632 | ....  ... ..  .. .... ... | .... .. ... . |
|    73 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 6B2 | ....  ... ..  .. .... ... | .... .. ... . |
|    74 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 732 | ....  ... ..  .. .... ... | .... .. ... . |
|    75 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 7B2 | ....  ... ..  .. .... ... | .... .. ... . |
|    76 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 832 | ....  ... ..  .. .... ... | .... .. ... . |
|    77 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 8B2 | ....  ... ..  .. .... ... | .... .. ... . |
|    78 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 932 | ....  ... ..  .. .... ... | .... .. ... . |
|    79 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 9B2 | ....  ... ..  .. .... ... | .... .. ... . |
|    80 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... A32 | ....  ... ..  .. .... ... | .... .. ... . |
|    81 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... AB2 | ....  ... ..  .. .... ... | .... .. ... . |
|    82 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... B32 | ....  ... ..  .. .... ... | .... .. ... . |
|    83 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... BB2 | ....  ... ..  .. .... ... | .... .. ... . |
|    84 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... C32 | ....  ... ..  .. .... ... | .... .. ... . |
|    85 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... CB2 | ....  ... ..  .. .... ... | .... .. ... . |
|    86 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... D32 | ....  ... ..  .. .... ... | .... .. ... . |
|    87 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... DB2 | ....  ... ..  .. .... ... | .... .. ... . |
|    88 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... E32 | ....  ... ..  .. .... ... | .... .. ... . |
|    89 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... EB2 | ....  ... ..  .. .... ... | .... .. ... . |
|    90 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... F32 | ....  ... ..  .. .... ... | .... .. ... . |
|    91 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... FB2 | ....  ... ..  .. .... ... | .... .. ... . |
|    92 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 032 | ....  ... ..  .. .... ... | .... .. ... . |
|    93 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 0B2 | ....  ... ..  .. .... ... | .... .. ... . |
|    94 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 132 | ....  ... ..  .. .... ... | .... .. ... . |
|    95 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 1B2 | ....  ... ..  .. .... ... | .... .. ... . |
|    96 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 232 | ....  ... ..  .. .... ... | .... .. ... . |
|    97 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 2B2 | ....  ... ..  .. .... ... | .... .. ... . |
|    98 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 332 | ....  ... ..  .. .... ... | .... .. ... . |
|    99 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 3B2 | ....  ... ..  .. .... ... | .... .. ... . |
|   100 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 432 | ....  ... ..  .. .... ... | .... .. ... . |
|   101 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 4B2 | ....  ... ..  .. .... ... | .... .. ... . |
|   102 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 532 | ....  ... ..  .. .... ... | .... .. ... . |
|   103 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 5B2 | ....  ... ..  .. .... ... | .... .. ... . |
|   104 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 632 | ....  ... ..  .. .... ... | .... .. ... . |
|   105 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 6B2 | ....  ... ..  .. .... ... | .... .. ... . |
|   106 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 732 | ....  ... ..  .. .... ... | .... .. ... . |
|   107 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 7B2 | ....  ... ..  .. .... ... | .... .. ... . |
|   108 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 832 | ....  ... ..  .. .... ... | .... .. ... . |
|   109 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 8B2 | ....  ... ..  .. .... ... | .... .. ... . |
|   110 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 932 | ....  ... ..  .. .... ... | .... .. ... . |
|   111 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 9B2 | ....  ... ..  .. .... ... | .... .. ... . |
|   112 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... A32 | ....  ... ..  .. .... ... | .... .. ... . |
|   113 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... AB2 | ....  ... ..  .. .... ... | .... .. ... . |
|   114 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... B32 | ....  ... ..  .. .... ... | .... .. ... . |
|   115 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... BB2 | ....  ... ..  .. .... ... | .... .. ... . |
|   116 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... C32 | ....  ... ..  .. .... ... | .... .. ... . |
|   117 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... CB2 | ....  ... ..  .. .... ... | .... .. ... . |
|   118 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... D32 | ....  ... ..  .. .... ... | .... .. ... . |
|   119 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... DB2 | ....  ... ..  .. .... ... | .... .. ... . |
|   120 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... E32 | ....  ... ..  .. .... ... | .... .. ... . |
